count: 1, address=0x106c22d, size=8 p=Agnola
count: 973, address=0x107437f, size=5 p=Lia
count: 974, address=0x1074385, size=6 p=Lian
count: 975, address=0x107438b, size=7 p=Liana
count: 976, address=0x1074392, size=7 p=Liane
count: 977, address=0x1074399, size=8 p=Lianna
count: 978, address=0x10743a1, size=8 p=Lianne
count: 979, address=0x10743a9, size=5 p=Lib
count: 980, address=0x10743af, size=8 p=Libbey
count: 981, address=0x10743b7, size=7 p=Libbi
count: 982, address=0x10743be, size=8 p=Libbie
count: 983, address=0x10743c6, size=7 p=Libby
count: 984, address=0x10743cd, size=7 p=Licha
count: 985, address=0x10743d4, size=6 p=Lida
count: 986, address=0x10743da, size=7 p=Lidia
count: 987, address=0x10743e1, size=7 p=Liesa
count: 988, address=0x10743e8, size=5 p=Lil
count: 989, address=0x10743ee, size=6 p=Lila
count: 990, address=0x10743f4, size=7 p=Lilah
count: 991, address=0x10743fb, size=7 p=Lilas
count: 992, address=0x1074402, size=7 p=Lilia
count: 993, address=0x1074409, size=8 p=Lilian
count: 994, address=0x1074411, size=9 p=Liliane
count: 995, address=0x107441a, size=8 p=Lilias
count: 996, address=0x1074422, size=8 p=Lilith
count: 997, address=0x107442a, size=7 p=Lilla
count: 998, address=0x1074431, size=7 p=Lilli
count: 999, address=0x1074438, size=9 p=Lillian
count: 1000, address=0x1074441, size=8 p=Lillis
count: 1001, address=0x1096992, size=9 p=Lilllie
count: 1002, address=0x109699f, size=7 p=Lilly
count: 1003, address=0x10969ab, size=6 p=Lily
count: 1004, address=0x10969b7, size=8 p=Lilyan
count: 1005, address=0x10969c3, size=5 p=Lin
count: 1006, address=0x10969cf, size=6 p=Lina
count: 1007, address=0x10969db, size=6 p=Lind
count: 1008, address=0x10969e7, size=7 p=Linda
count: 1009, address=0x10969f3, size=7 p=Lindi
count: 1010, address=0x10969ff, size=8 p=Lindie
count: 1011, address=0x1096a0b, size=9 p=Lindsay
count: 1012, address=0x1096a17, size=9 p=Lindsey
count: 1013, address=0x1096a23, size=8 p=Lindsy
count: 1014, address=0x1096a2f, size=7 p=Lindy
count: 1015, address=0x1096a3b, size=7 p=Linea
count: 1016, address=0x1096a47, size=8 p=Linell
count: 1017, address=0x1096a53, size=7 p=Linet
count: 1018, address=0x1096a5f, size=9 p=Linette
count: 1019, address=0x1096a6b, size=6 p=Linn
count: 1020, address=0x1096a77, size=8 p=Linnea
count: 1021, address=0x1096a83, size=9 p=Linnell
count: 1022, address=0x1096a8e, size=8 p=Linnet
count: 1023, address=0x1096a99, size=8 p=Linnie
count: 1024, address=0x1096aa4, size=7 p=Linzy
count: 1025, address=0x1096aaf, size=6 p=Lira
count: 1026, address=0x1096aba, size=6 p=Lisa
count: 1027, address=0x1096ac5, size=10 p=Lisabeth
count: 1028, address=0x1096ad0, size=9 p=Lisbeth
count: 1029, address=0x1096adb, size=6 p=Lise
count: 1030, address=0x1096ae6, size=9 p=Lisetta
count: 1031, address=0x1096af1, size=9 p=Lisette
count: 1032, address=0x1096afc, size=7 p=Lisha
count: 1033, address=0x1096b07, size=7 p=Lishe
count: 1034, address=0x1096b12, size=7 p=Lissa
count: 1035, address=0x1096b1d, size=7 p=Lissi
count: 1036, address=0x1096b28, size=8 p=Lissie
count: 1037, address=0x1096b33, size=7 p=Lissy
count: 1038, address=0x1096b3e, size=6 p=Lita
count: 1039, address=0x1096b49, size=7 p=Liuka
count: 1040, address=0x1096b54, size=5 p=Liv
count: 1041, address=0x1096b5f, size=6 p=Liva
count: 1042, address=0x1096b6a, size=7 p=Livia
count: 1043, address=0x1096b75, size=8 p=Livvie
count: 1044, address=0x1096b80, size=7 p=Livvy
count: 1045, address=0x1096b8b, size=8 p=Livvyy
count: 1046, address=0x1096b96, size=6 p=Livy
count: 1047, address=0x1096ba1, size=5 p=Liz
count: 1048, address=0x1096bac, size=6 p=Liza
count: 1049, address=0x1096bb7, size=10 p=Lizabeth
count: 1050, address=0x1096bc2, size=9 p=Lizbeth
count: 1051, address=0x1096bcd, size=9 p=Lizette
count: 1052, address=0x1096bd8, size=8 p=Lizzie
count: 1053, address=0x1096be3, size=7 p=Lizzy
count: 1054, address=0x1096bee, size=8 p=Loella
count: 1055, address=0x1096bf9, size=6 p=Lois
count: 1056, address=0x1096c04, size=7 p=Loise
count: 1057, address=0x1096c0f, size=6 p=Lola
count: 1058, address=0x1096c1a, size=8 p=Loleta
count: 1059, address=0x1096c24, size=8 p=Lolita
count: 1060, address=0x1096c2e, size=7 p=Lolly
count: 1061, address=0x1096c38, size=6 p=Lona
count: 1062, address=0x1096c42, size=7 p=Lonee
count: 1063, address=0x1096c4c, size=6 p=Loni
count: 1064, address=0x1096c56, size=7 p=Lonna
count: 1065, address=0x1096c60, size=7 p=Lonni
count: 1066, address=0x1096c6a, size=8 p=Lonnie
count: 1067, address=0x1096c74, size=6 p=Lora
count: 1068, address=0x1096c7e, size=8 p=Lorain
count: 1069, address=0x1096c88, size=9 p=Loraine
count: 1070, address=0x1096c92, size=9 p=Loralee
count: 1071, address=0x1096c9c, size=9 p=Loralie
count: 1072, address=0x1096ca6, size=9 p=Loralyn
count: 1073, address=0x1096cb0, size=7 p=Loree
count: 1074, address=0x1096cba, size=8 p=Loreen
count: 1075, address=0x1096cc4, size=9 p=Lorelei
count: 1076, address=0x1096cce, size=9 p=Lorelle
count: 1077, address=0x1096cd8, size=7 p=Loren
count: 1078, address=0x1096ce2, size=8 p=Lorena
count: 1079, address=0x1096cec, size=8 p=Lorene
count: 1080, address=0x1096cf6, size=9 p=Lorenza
count: 1081, address=0x1096d00, size=9 p=Loretta
count: 1082, address=0x1096d0a, size=9 p=Lorette
count: 1083, address=0x1096d14, size=6 p=Lori
count: 1084, address=0x1096d1e, size=7 p=Loria
count: 1085, address=0x1096d28, size=10 p=Lorianna
count: 1086, address=0x1096d32, size=10 p=Lorianne
count: 1087, address=0x1096d3c, size=7 p=Lorie
count: 1088, address=0x1096d46, size=9 p=Lorilee
count: 1089, address=0x1096d50, size=9 p=Lorilyn
count: 1090, address=0x1096d5a, size=9 p=Lorinda
count: 1091, address=0x1096d64, size=8 p=Lorine
count: 1092, address=0x1096d6e, size=8 p=Lorita
count: 1093, address=0x1096d78, size=7 p=Lorna
count: 1094, address=0x1096d82, size=7 p=Lorne
count: 1095, address=0x1096d8c, size=10 p=Lorraine
count: 1096, address=0x1096d96, size=10 p=Lorrayne
count: 1097, address=0x1096da0, size=7 p=Lorri
count: 1098, address=0x1096daa, size=8 p=Lorrie
count: 1099, address=0x1096db4, size=8 p=Lorrin
count: 1100, address=0x1096dbe, size=7 p=Lorry
count: 1101, address=0x1096dc8, size=6 p=Lory
count: 1102, address=0x1096dd2, size=7 p=Lotta
count: 1103, address=0x1096ddc, size=7 p=Lotte
count: 1104, address=0x1096de6, size=7 p=Lotti
count: 1105, address=0x1096df0, size=8 p=Lottie
count: 1106, address=0x1096dfa, size=7 p=Lotty
count: 1107, address=0x1096e04, size=5 p=Lou
count: 1108, address=0x1096e0e, size=9 p=Louella
count: 1109, address=0x1096e18, size=8 p=Louisa
count: 1110, address=0x1096e22, size=8 p=Louise
count: 1111, address=0x1096e2c, size=11 p=Louisette
count: 1112, address=0x1096e37, size=10 p=Loutitia
count: 1113, address=0x1096e41, size=4 p=Lu
count: 1114, address=0x1096e4b, size=6 p=Luce
count: 1115, address=0x1096e55, size=6 p=Luci
count: 1116, address=0x1096e5e, size=7 p=Lucia
count: 1117, address=0x1096e67, size=9 p=Luciana
count: 1118, address=0x1096e70, size=7 p=Lucie
count: 1119, address=0x1096e79, size=10 p=Lucienne
count: 1120, address=0x1096e83, size=8 p=Lucila
count: 1121, address=0x1096e8c, size=9 p=Lucilia
count: 1122, address=0x1096e95, size=9 p=Lucille
count: 1123, address=0x1096e9e, size=8 p=Lucina
count: 1124, address=0x1096ea7, size=9 p=Lucinda
count: 1125, address=0x1096eb0, size=8 p=Lucine
count: 1126, address=0x1096eb9, size=8 p=Lucita
count: 1127, address=0x1096ec2, size=7 p=Lucky
count: 1128, address=0x1096ecb, size=10 p=Lucretia
count: 1129, address=0x1096ed5, size=6 p=Lucy
count: 1130, address=0x1096ede, size=10 p=Ludovika
count: 1131, address=0x1096ee8, size=8 p=Luella
count: 1132, address=0x1096ef1, size=8 p=Luelle
count: 1133, address=0x1096efa, size=7 p=Luisa
count: 1134, address=0x1096f03, size=7 p=Luise
count: 1135, address=0x1096f0c, size=6 p=Lula
count: 1136, address=0x1096f15, size=8 p=Lulita
count: 1137, address=0x1096f1e, size=6 p=Lulu
count: 1138, address=0x1096f27, size=6 p=Lura
count: 1139, address=0x1096f30, size=9 p=Lurette
count: 1140, address=0x1096f39, size=9 p=Lurleen
count: 1141, address=0x1096f42, size=9 p=Lurlene
count: 1142, address=0x1096f4b, size=9 p=Lurline
count: 1143, address=0x1096f54, size=6 p=Lusa
count: 1144, address=0x1096f5d, size=5 p=Luz
count: 1145, address=0x1096f66, size=6 p=Lyda
count: 1146, address=0x1096f6f, size=7 p=Lydia
count: 1147, address=0x1096f78, size=7 p=Lydie
count: 1148, address=0x1096f81, size=5 p=Lyn
count: 1149, address=0x1096f8a, size=7 p=Lynda
count: 1150, address=0x1096f93, size=7 p=Lynde
count: 1151, address=0x1096f9c, size=8 p=Lyndel
count: 1152, address=0x1096fa5, size=9 p=Lyndell
count: 1153, address=0x1096fae, size=9 p=Lyndsay
count: 1154, address=0x1096fb7, size=9 p=Lyndsey
count: 1155, address=0x1096fc0, size=9 p=Lyndsie
count: 1156, address=0x1096fc9, size=7 p=Lyndy
count: 1157, address=0x1096fd2, size=7 p=Lynea
count: 1158, address=0x1096fdb, size=9 p=Lynelle
count: 1159, address=0x1096fe4, size=8 p=Lynett
count: 1160, address=0x1096fed, size=9 p=Lynette
count: 1161, address=0x1096ff6, size=6 p=Lynn
count: 1162, address=0x1096fff, size=7 p=Lynna
count: 1163, address=0x1097008, size=7 p=Lynne
count: 1164, address=0x1097011, size=8 p=Lynnea
count: 1165, address=0x109701a, size=9 p=Lynnell
count: 1166, address=0x1097023, size=10 p=Lynnelle
count: 1167, address=0x109702d, size=8 p=Lynnet
count: 1168, address=0x1097036, size=9 p=Lynnett
count: 1169, address=0x109703f, size=10 p=Lynnette
count: 1170, address=0x1097049, size=8 p=Lynsey
count: 1171, address=0x1097052, size=7 p=Lyssa
count: 1172, address=0x109705b, size=5 p=Mab
count: 1173, address=0x1097064, size=7 p=Mabel
count: 1174, address=0x109706d, size=9 p=Mabelle
count: 1175, address=0x1097076, size=7 p=Mable
count: 1176, address=0x109707f, size=6 p=Mada
count: 1177, address=0x1097088, size=10 p=Madalena
count: 1178, address=0x1097092, size=9 p=Madalyn
count: 1179, address=0x109709b, size=11 p=Maddalena
count: 1180, address=0x10970a6, size=7 p=Maddi
count: 1181, address=0x10970af, size=8 p=Maddie
count: 1182, address=0x10970b8, size=7 p=Maddy
count: 1183, address=0x10970c1, size=7 p=Madel
count: 1184, address=0x10970ca, size=11 p=Madelaine
count: 1185, address=0x10970d5, size=11 p=Madeleine
count: 1186, address=0x10970e0, size=10 p=Madelena
count: 1187, address=0x10970ea, size=10 p=Madelene
count: 1188, address=0x10970f4, size=9 p=Madelin
count: 1189, address=0x10970fd, size=10 p=Madelina
count: 1190, address=0x1097107, size=10 p=Madeline
count: 1191, address=0x1097111, size=9 p=Madella
count: 1192, address=0x109711a, size=9 p=Madelle
count: 1193, address=0x1097123, size=9 p=Madelon
count: 1194, address=0x109712c, size=9 p=Madelyn
count: 1195, address=0x1097135, size=7 p=Madge
count: 1196, address=0x109713e, size=8 p=Madlen
count: 1197, address=0x1097147, size=8 p=Madlin
count: 1198, address=0x1097150, size=9 p=Madonna
count: 1199, address=0x1097159, size=6 p=Mady
count: 1200, address=0x1097162, size=5 p=Mae
count: 1201, address=0x109716b, size=8 p=Maegan
count: 1202, address=0x1097174, size=5 p=Mag
count: 1203, address=0x109717d, size=7 p=Magda
count: 1204, address=0x1097186, size=9 p=Magdaia
count: 1205, address=0x109718f, size=10 p=Magdalen
count: 1206, address=0x1097199, size=11 p=Magdalena
count: 1207, address=0x10971a4, size=11 p=Magdalene
count: 1208, address=0x10971af, size=8 p=Maggee
count: 1209, address=0x10971b8, size=7 p=Maggi
count: 1210, address=0x10971c1, size=8 p=Maggie
count: 1211, address=0x10971ca, size=7 p=Maggy
count: 1212, address=0x10971d3, size=8 p=Mahala
count: 1213, address=0x10971dc, size=9 p=Mahalia
count: 1214, address=0x10971e5, size=6 p=Maia
count: 1215, address=0x10971ed, size=8 p=Maible
count: 1216, address=0x10971f5, size=7 p=Maiga
count: 1217, address=0x10971fd, size=11 p=Maighdiln
count: 1218, address=0x1097208, size=6 p=Mair
count: 1219, address=0x1097210, size=7 p=Maire
count: 1220, address=0x1097218, size=8 p=Maisey
count: 1221, address=0x1097220, size=8 p=Maisie
count: 1222, address=0x1097228, size=10 p=Maitilde
count: 1223, address=0x1097232, size=6 p=Mala
count: 1224, address=0x109723a, size=9 p=Malanie
count: 1225, address=0x1097243, size=8 p=Malena
count: 1226, address=0x109724b, size=7 p=Malia
count: 1227, address=0x1097253, size=8 p=Malina
count: 1228, address=0x109725b, size=9 p=Malinda
count: 1229, address=0x1097264, size=9 p=Malinde
count: 1230, address=0x109726d, size=9 p=Malissa
count: 1231, address=0x1097276, size=10 p=Malissia
count: 1232, address=0x1097280, size=10 p=Mallissa
count: 1233, address=0x109728a, size=10 p=Mallorie
count: 1234, address=0x1097294, size=9 p=Mallory
count: 1235, address=0x109729d, size=9 p=Malorie
count: 1236, address=0x10972a6, size=8 p=Malory
count: 1237, address=0x10972ae, size=7 p=Malva
count: 1238, address=0x10972b6, size=9 p=Malvina
count: 1239, address=0x10972bf, size=9 p=Malynda
count: 1240, address=0x10972c8, size=6 p=Mame
count: 1241, address=0x10972d0, size=7 p=Mamie
count: 1242, address=0x10972d8, size=7 p=Manda
count: 1243, address=0x10972e0, size=7 p=Mandi
count: 1244, address=0x10972e8, size=8 p=Mandie
count: 1245, address=0x10972f0, size=7 p=Mandy
count: 1246, address=0x10972f8, size=7 p=Manon
count: 1247, address=0x1097300, size=7 p=Manya
count: 1248, address=0x1097308, size=6 p=Mara
count: 1249, address=0x1097310, size=9 p=Marabel
count: 1250, address=0x1097319, size=9 p=Marcela
count: 1251, address=0x1097322, size=10 p=Marcelia
count: 1252, address=0x109732c, size=10 p=Marcella
count: 1253, address=0x1097336, size=10 p=Marcelle
count: 1254, address=0x1097340, size=12 p=Marcellina
count: 1255, address=0x109734c, size=12 p=Marcelline
count: 1256, address=0x1097358, size=11 p=Marchelle
count: 1257, address=0x1097363, size=7 p=Marci
count: 1258, address=0x109736b, size=8 p=Marcia
count: 1259, address=0x1097373, size=8 p=Marcie
count: 1260, address=0x109737b, size=9 p=Marcile
count: 1261, address=0x1097384, size=10 p=Marcille
count: 1262, address=0x109738e, size=7 p=Marcy
count: 1263, address=0x1097396, size=8 p=Mareah
count: 1264, address=0x109739e, size=7 p=Maren
count: 1265, address=0x10973a6, size=8 p=Marena
count: 1266, address=0x10973ae, size=9 p=Maressa
count: 1267, address=0x10973b7, size=7 p=Marga
count: 1268, address=0x10973bf, size=10 p=Margalit
count: 1269, address=0x10973c9, size=9 p=Margalo
count: 1270, address=0x10973d2, size=10 p=Margaret
count: 1271, address=0x10973dc, size=11 p=Margareta
count: 1272, address=0x10973e7, size=11 p=Margarete
count: 1273, address=0x10973f2, size=12 p=Margaretha
count: 1274, address=0x10973fe, size=12 p=Margarethe
count: 1275, address=0x109740a, size=12 p=Margaretta
count: 1276, address=0x1097416, size=12 p=Margarette
count: 1277, address=0x1097422, size=11 p=Margarita
count: 1278, address=0x109742d, size=9 p=Margaux
count: 1279, address=0x1097436, size=7 p=Marge
count: 1280, address=0x109743e, size=10 p=Margeaux
count: 1281, address=0x1097448, size=9 p=Margery
count: 1282, address=0x1097451, size=8 p=Marget
count: 1283, address=0x1097459, size=10 p=Margette
count: 1284, address=0x1097463, size=7 p=Margi
count: 1285, address=0x109746b, size=8 p=Margie
count: 1286, address=0x1097473, size=8 p=Margit
count: 1287, address=0x109747b, size=7 p=Margo
count: 1288, address=0x1097483, size=8 p=Margot
count: 1289, address=0x109748b, size=9 p=Margret
count: 1290, address=0x1097494, size=12 p=Marguerite
count: 1291, address=0x10974a0, size=7 p=Margy
count: 1292, address=0x10974a8, size=6 p=Mari
count: 1293, address=0x10974b0, size=7 p=Maria
count: 1294, address=0x10974b8, size=8 p=Mariam
count: 1295, address=0x10974c0, size=8 p=Marian
count: 1296, address=0x10974c8, size=9 p=Mariana
count: 1297, address=0x10974d1, size=9 p=Mariann
count: 1298, address=0x10974da, size=10 p=Marianna
count: 1299, address=0x10974e4, size=10 p=Marianne
count: 1300, address=0x10974ee, size=9 p=Maribel
count: 1301, address=0x10974f7, size=11 p=Maribelle
count: 1302, address=0x1097502, size=10 p=Maribeth
count: 1303, address=0x109750c, size=8 p=Marice
count: 1304, address=0x1097514, size=9 p=Maridel
count: 1305, address=0x109751d, size=7 p=Marie
count: 1306, address=0x1097525, size=11 p=Marie-Ann
count: 1307, address=0x1097530, size=14 p=Marie-Jeanne
count: 1308, address=0x109753e, size=10 p=Marieann
count: 1309, address=0x1097548, size=13 p=Mariejeanne
count: 1310, address=0x1097555, size=8 p=Mariel
count: 1311, address=0x109755d, size=9 p=Mariele
count: 1312, address=0x1097566, size=10 p=Marielle
count: 1313, address=0x1097570, size=11 p=Mariellen
count: 1314, address=0x109757b, size=10 p=Marietta
count: 1315, address=0x1097585, size=10 p=Mariette
count: 1316, address=0x109758f, size=10 p=Marigold
count: 1317, address=0x1097599, size=8 p=Marijo
count: 1318, address=0x10975a1, size=8 p=Marika
count: 1319, address=0x10975a9, size=9 p=Marilee
count: 1320, address=0x10975b2, size=9 p=Marilin
count: 1321, address=0x10975bb, size=10 p=Marillin
count: 1322, address=0x10975c5, size=9 p=Marilyn
count: 1323, address=0x10975ce, size=7 p=Marin
count: 1324, address=0x10975d6, size=8 p=Marina
count: 1325, address=0x10975de, size=9 p=Marinna
count: 1326, address=0x10975e7, size=8 p=Marion
count: 1327, address=0x10975ef, size=12 p=Mariquilla
count: 1328, address=0x10975fb, size=7 p=Maris
count: 1329, address=0x1097603, size=8 p=Marisa
count: 1330, address=0x109760b, size=9 p=Mariska
count: 1331, address=0x1097614, size=9 p=Marissa
count: 1332, address=0x109761d, size=8 p=Marita
count: 1333, address=0x1097625, size=9 p=Maritsa
count: 1334, address=0x109762e, size=8 p=Mariya
count: 1335, address=0x1097636, size=6 p=Marj
count: 1336, address=0x109763e, size=7 p=Marja
count: 1337, address=0x1097646, size=7 p=Marje
count: 1338, address=0x109764e, size=7 p=Marji
count: 1339, address=0x1097656, size=8 p=Marjie
count: 1340, address=0x109765e, size=10 p=Marjorie
count: 1341, address=0x1097668, size=9 p=Marjory
count: 1342, address=0x1097671, size=7 p=Marjy
count: 1343, address=0x1097679, size=9 p=Marketa
count: 1344, address=0x1097682, size=7 p=Marla
count: 1345, address=0x109768a, size=9 p=Marlane
count: 1346, address=0x1097693, size=9 p=Marleah
count: 1347, address=0x109769c, size=8 p=Marlee
count: 1348, address=0x10976a4, size=9 p=Marleen
count: 1349, address=0x10976ad, size=9 p=Marlena
count: 1350, address=0x10976b6, size=9 p=Marlene
count: 1351, address=0x10976bf, size=8 p=Marley
count: 1352, address=0x10976c7, size=8 p=Marlie
count: 1353, address=0x10976cf, size=9 p=Marline
count: 1354, address=0x10976d8, size=7 p=Marlo
count: 1355, address=0x10976e0, size=8 p=Marlyn
count: 1356, address=0x10976e8, size=7 p=Marna
count: 1357, address=0x10976f0, size=7 p=Marne
count: 1358, address=0x10976f8, size=8 p=Marney
count: 1359, address=0x1097700, size=7 p=Marni
count: 1360, address=0x1097708, size=8 p=Marnia
count: 1361, address=0x1097710, size=8 p=Marnie
count: 1362, address=0x1097718, size=10 p=Marquita
count: 1363, address=0x1097722, size=10 p=Marrilee
count: 1364, address=0x109772c, size=8 p=Marris
count: 1365, address=0x1097734, size=10 p=Marrissa
count: 1366, address=0x109773e, size=8 p=Marsha
count: 1367, address=0x1097746, size=11 p=Marsiella
count: 1368, address=0x1097751, size=7 p=Marta
count: 1369, address=0x1097759, size=10 p=Martelle
count: 1370, address=0x1097763, size=13 p=Martguerita
count: 1371, address=0x1097770, size=8 p=Martha
count: 1372, address=0x1097778, size=8 p=Marthe
count: 1373, address=0x1097780, size=10 p=Marthena
count: 1374, address=0x109778a, size=7 p=Marti
count: 1375, address=0x1097792, size=9 p=Martica
count: 1376, address=0x109779b, size=8 p=Martie
count: 1377, address=0x10977a3, size=9 p=Martina
count: 1378, address=0x10977ac, size=9 p=Martita
count: 1379, address=0x10977b5, size=7 p=Marty
count: 1380, address=0x10977bd, size=10 p=Martynne
count: 1381, address=0x10977c7, size=6 p=Mary
count: 1382, address=0x10977cf, size=7 p=Marya
count: 1383, address=0x10977d7, size=9 p=Maryann
count: 1384, address=0x10977e0, size=10 p=Maryanna
count: 1385, address=0x10977ea, size=10 p=Maryanne
count: 1386, address=0x10977f4, size=11 p=Marybelle
count: 1387, address=0x10977ff, size=10 p=Marybeth
count: 1388, address=0x1097809, size=11 p=Maryellen
count: 1389, address=0x1097814, size=10 p=Maryjane
count: 1390, address=0x109781e, size=8 p=Maryjo
count: 1391, address=0x1097826, size=7 p=Maryl
count: 1392, address=0x109782e, size=9 p=Marylee
count: 1393, address=0x1097837, size=9 p=Marylin
count: 1394, address=0x1097840, size=11 p=Marylinda
count: 1395, address=0x109784b, size=9 p=Marylou
count: 1396, address=0x1097854, size=11 p=Marylynne
count: 1397, address=0x109785f, size=10 p=Maryrose
count: 1398, address=0x1097869, size=7 p=Marys
count: 1399, address=0x1097871, size=8 p=Marysa
count: 1400, address=0x1097879, size=7 p=Masha
count: 1401, address=0x1097881, size=9 p=Matelda
count: 1402, address=0x109788a, size=10 p=Mathilda
count: 1403, address=0x1097894, size=10 p=Mathilde
count: 1404, address=0x109789e, size=9 p=Matilda
count: 1405, address=0x10978a7, size=9 p=Matilde
count: 1406, address=0x10978b0, size=7 p=Matti
count: 1407, address=0x10978b8, size=8 p=Mattie
count: 1408, address=0x10978c0, size=7 p=Matty
count: 1409, address=0x10978c8, size=6 p=Maud
count: 1410, address=0x10978d0, size=7 p=Maude
count: 1411, address=0x10978d8, size=8 p=Maudie
count: 1412, address=0x10978e0, size=7 p=Maura
count: 1413, address=0x10978e8, size=7 p=Maure
count: 1414, address=0x10978f0, size=9 p=Maureen
count: 1415, address=0x10978f9, size=10 p=Maureene
count: 1416, address=0x1097903, size=9 p=Maurene
count: 1417, address=0x109790c, size=9 p=Maurine
count: 1418, address=0x1097915, size=9 p=Maurise
count: 1419, address=0x109791e, size=9 p=Maurita
count: 1420, address=0x1097927, size=10 p=Maurizia
count: 1421, address=0x1097931, size=7 p=Mavis
count: 1422, address=0x1097939, size=7 p=Mavra
count: 1423, address=0x1097941, size=5 p=Max
count: 1424, address=0x1097949, size=6 p=Maxi
count: 1425, address=0x1097951, size=7 p=Maxie
count: 1426, address=0x1097959, size=8 p=Maxine
count: 1427, address=0x1097961, size=6 p=Maxy
count: 1428, address=0x1097969, size=5 p=May
count: 1429, address=0x1097971, size=10 p=Maybelle
count: 1430, address=0x109797b, size=6 p=Maye
count: 1431, address=0x1097983, size=6 p=Mead
count: 1432, address=0x109798b, size=7 p=Meade
count: 1433, address=0x1097993, size=8 p=Meagan
count: 1434, address=0x109799b, size=9 p=Meaghan
count: 1435, address=0x10979a4, size=7 p=Meara
count: 1436, address=0x10979ac, size=10 p=Mechelle
count: 1437, address=0x10979b6, size=5 p=Meg
count: 1438, address=0x10979be, size=7 p=Megan
count: 1439, address=0x10979c6, size=7 p=Megen
count: 1440, address=0x10979ce, size=7 p=Meggi
count: 1441, address=0x10979d6, size=8 p=Meggie
count: 1442, address=0x10979de, size=7 p=Meggy
count: 1443, address=0x10979e6, size=8 p=Meghan
count: 1444, address=0x10979ee, size=9 p=Meghann
count: 1445, address=0x10979f7, size=11 p=Mehetabel
count: 1446, address=0x1097a02, size=5 p=Mei
count: 1447, address=0x1097a0a, size=5 p=Mel
count: 1448, address=0x1097a12, size=6 p=Mela
count: 1449, address=0x1097a1a, size=9 p=Melamie
count: 1450, address=0x1097a23, size=9 p=Melania
count: 1451, address=0x1097a2c, size=9 p=Melanie
count: 1452, address=0x1097a35, size=10 p=Melantha
count: 1453, address=0x1097a3f, size=8 p=Melany
count: 1454, address=0x1097a47, size=7 p=Melba
count: 1455, address=0x1097a4f, size=8 p=Melesa
count: 1456, address=0x1097a57, size=9 p=Melessa
count: 1457, address=0x1097a60, size=10 p=Melicent
count: 1458, address=0x1097a6a, size=8 p=Melina
count: 1459, address=0x1097a72, size=9 p=Melinda
count: 1460, address=0x1097a7b, size=9 p=Melinde
count: 1461, address=0x1097a84, size=8 p=Melisa
count: 1462, address=0x1097a8c, size=11 p=Melisande
count: 1463, address=0x1097a97, size=12 p=Melisandra
count: 1464, address=0x1097aa3, size=11 p=Melisenda
count: 1465, address=0x1097aae, size=10 p=Melisent
count: 1466, address=0x1097ab8, size=9 p=Melissa
count: 1467, address=0x1097ac1, size=9 p=Melisse
count: 1468, address=0x1097aca, size=8 p=Melita
count: 1469, address=0x1097ad2, size=9 p=Melitta
count: 1470, address=0x1097adb, size=7 p=Mella
count: 1471, address=0x1097ae2, size=7 p=Melli
count: 1472, address=0x1097ae9, size=11 p=Mellicent
count: 1473, address=0x1097af4, size=8 p=Mellie
count: 1474, address=0x1097afc, size=9 p=Mellisa
count: 1475, address=0x1097b05, size=11 p=Mellisent
count: 1476, address=0x1097b10, size=10 p=Melloney
count: 1477, address=0x1097b1a, size=7 p=Melly
count: 1478, address=0x1097b21, size=9 p=Melodee
count: 1479, address=0x1097b2a, size=9 p=Melodie
count: 1480, address=0x1097b33, size=8 p=Melody
count: 1481, address=0x1097b3b, size=9 p=Melonie
count: 1482, address=0x1097b44, size=8 p=Melony
count: 1483, address=0x1097b4c, size=8 p=Melosa
count: 1484, address=0x1097b54, size=7 p=Melva
count: 1485, address=0x1097b5b, size=10 p=Mercedes
count: 1486, address=0x1097b65, size=7 p=Merci
count: 1487, address=0x1097b6c, size=8 p=Mercie
count: 1488, address=0x1097b74, size=7 p=Mercy
count: 1489, address=0x1097b7b, size=10 p=Meredith
count: 1490, address=0x1097b85, size=11 p=Meredithe
count: 1491, address=0x1097b90, size=9 p=Meridel
count: 1492, address=0x1097b99, size=10 p=Meridith
count: 1493, address=0x1097ba3, size=8 p=Meriel
count: 1494, address=0x1097bab, size=9 p=Merilee
count: 1495, address=0x1097bb4, size=9 p=Merilyn
count: 1496, address=0x1097bbd, size=7 p=Meris
count: 1497, address=0x1097bc4, size=9 p=Merissa
count: 1498, address=0x1097bcd, size=6 p=Merl
count: 1499, address=0x1097bd4, size=7 p=Merla
count: 1500, address=0x1097bdb, size=7 p=Merle
count: 1501, address=0x1097be2, size=9 p=Merlina
count: 1502, address=0x1097beb, size=9 p=Merline
count: 1503, address=0x1097bf4, size=7 p=Merna
count: 1504, address=0x1097bfb, size=8 p=Merola
count: 1505, address=0x1097c03, size=10 p=Merralee
count: 1506, address=0x1097c0d, size=10 p=Merridie
count: 1507, address=0x1097c17, size=8 p=Merrie
count: 1508, address=0x1097c1f, size=11 p=Merrielle
count: 1509, address=0x1097c2a, size=9 p=Merrile
count: 1510, address=0x1097c33, size=10 p=Merrilee
count: 1511, address=0x1097c3d, size=9 p=Merrili
count: 1512, address=0x1097c46, size=9 p=Merrill
count: 1513, address=0x1097c4f, size=9 p=Merrily
count: 1514, address=0x1097c58, size=7 p=Merry
count: 1515, address=0x1097c5f, size=8 p=Mersey
